{
	{0,0,0,0,},
	{1,3,2,4,},
	{0,0,5,5,},
	{6,7,6,8,},
	{6,9,6,6,},
	{0,0,0,10,},
	{0,11,0,11,},
	{0,11,5,12,},
	{6,6,13,13,},
	{14,14,14,15,},
	{14,17,16,18,},
	{19,19,19,19,},
	{20,20,20,20,},
	{21,21,6,6,},
	{22,22,22,22,},
	{23,24,14,17,},
	{14,25,14,14,},
	{26,14,27,14,},
	{28,21,29,6,},
	{30,6,29,6,},
	{30,6,31,13,},
	{32,33,19,19,},
	{34,36,35,37,},
	{14,25,14,15,},
	{38,40,39,41,},
	{42,36,43,37,},
	{23,44,16,45,},
	{6,6,46,6,},
	{19,19,19,47,},
	{6,6,13,48,},
	{36,49,43,50,},
	{51,6,6,6,},
	{52,19,19,19,},
	{19,53,19,53,},
	{54,56,55,57,},
	{58,60,59,61,},
	{62,64,63,65,},
	{56,56,57,57,},
	{60,60,66,61,},
	{64,64,65,65,},
	{21,67,6,8,},
	{6,6,6,68,},
	{19,19,52,53,},
	{54,56,58,60,},
	{59,61,63,65,},
	{19,19,53,52,},
	{56,69,60,70,},
	{66,71,65,72,},
	{47,19,19,19,},
	{73,23,74,16,},
	{0,0,75,5,},
	{76,14,77,16,},
	{6,7,13,78,},
	{79,23,80,14,},
	{81,14,82,14,},
	{14,14,82,14,},
	{83,23,76,14,},
	{81,14,14,14,},
	{14,84,14,85,},
};
