{
	{11,13,12,14,},
	{12,14,15,16,},
	{34,36,35,37,},
	{35,37,38,39,},
	{36,36,37,37,},
	{37,37,39,39,},
	{40,41,40,42,},
	{40,41,43,44,},
	{41,41,42,41,},
	{41,41,44,44,},
	{36,45,37,46,},
	{37,46,39,47,},
	{41,41,41,42,},
	{41,48,42,48,},
	{41,48,44,49,},
	{11,13,15,16,},
	{32,32,32,32,},
	{92,94,93,95,},
	{32,32,8,8,},
	{40,41,40,41,},
	{41,41,41,41,},
	{125,127,126,128,},
	{18,32,18,32,},
	{18,32,20,8,},
	{23,23,23,23,},
	{22,22,22,22,},
	{28,30,29,31,},
	{33,33,33,33,},
	{32,9,32,9,},
	{32,9,8,10,},
	{35,37,35,37,},
	{37,37,37,37,},
};
